epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,91.0463,1.70891,4.57242,0.0043,7e-05,0.00522,4e-05,3e-05,1.17331,4.65697,0.0036,0.00196721,0.000655738,0.00196721,0.000655738,0.00196721,0.000655738,0.00196721,0.000655738
2,183.44,1.43851,2.64982,0.0035,0.75189,0.76722,0.84217,0.51005,1.32752,2.63721,0.00421,0.00388866,0.00129622,0.00388866,0.00129622,0.00388866,0.00129622,0.00388866,0.00129622
3,269.082,1.36711,1.74714,0.00323,0.84735,0.85178,0.91983,0.58717,1.23923,1.65835,0.00388,0.00573091,0.0019103,0.00573091,0.0019103,0.00573091,0.0019103,0.00573091,0.0019103
4,357.389,1.30793,1.27741,0.00307,0.87466,0.86117,0.94147,0.60673,1.19024,1.25557,0.00371,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,444.865,1.2773,1.05164,0.003,0.90209,0.88935,0.95539,0.6202,1.21408,0.98954,0.00382,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,536.148,1.27473,0.91945,0.00307,0.92719,0.90394,0.95829,0.6443,1.16078,0.83089,0.0036,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,614.594,1.20894,0.76589,0.00277,0.9362,0.93438,0.974,0.6627,1.12166,0.69472,0.00348,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,695.852,1.18244,0.6942,0.00281,0.92895,0.94259,0.97845,0.65956,1.12229,0.64711,0.00346,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,778.535,1.20357,0.63323,0.00282,0.94499,0.95046,0.97022,0.66483,1.13515,0.59638,0.00349,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,855.078,1.15955,0.58307,0.00264,0.94971,0.9463,0.97184,0.67775,1.08076,0.54031,0.00334,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,938.892,1.17735,0.57117,0.00284,0.9495,0.94206,0.9797,0.68663,1.08549,0.52957,0.00335,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,1012.59,1.15943,0.53188,0.00272,0.96355,0.95407,0.98268,0.70025,1.05692,0.48281,0.00325,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,1089.49,1.13557,0.51394,0.00268,0.94195,0.95825,0.97732,0.70255,1.05353,0.4738,0.00322,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,1165.16,1.12431,0.49375,0.00267,0.95978,0.9572,0.98474,0.71955,1.01953,0.44241,0.00311,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,1243.56,1.11285,0.46769,0.00258,0.95977,0.9739,0.98574,0.72341,1.01078,0.41711,0.0031,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,1342.39,1.07045,0.43748,0.00253,0.96716,0.96973,0.98813,0.71935,1.04866,0.41552,0.00325,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,1416.79,1.10595,0.45921,0.00261,0.9585,0.96347,0.98627,0.73681,0.97916,0.39507,0.003,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,1489.43,1.05429,0.42918,0.00243,0.96493,0.97639,0.98711,0.74558,0.97727,0.37487,0.003,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,1562.2,1.06348,0.41478,0.00243,0.97492,0.9572,0.98892,0.75403,0.9468,0.36532,0.00289,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
